Store_id,Store_name,Website,City,Address,Weekday,Open_time,Close_time,User_id,User_first_name,User_last_name,User_email
908032,Golden Kingdom Arcade,www.goldenkingdom.com,Dunnhaven,912 Walton Crest Suite 896,"['Sunday', 'Tuesday', 'Friday', 'Thursday', 'Monday']",09:00,17:00,629479,Nicholas,Shaw,Nicholas.Shaw@williams.net
548546,Spectacular Refuge Arcade,www.spectacularrefuge.com,Lake Brianview,97641 Cook Forge Apt. 603,"['Friday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Monday']",09:00,21:00,548349,Lawrence,Martinez,Lawrence.Martinez@harrington.com
558111,Enchanted Night Arcade,www.enchantednight.com,East Trevorberg,98027 Jefferson Mountain Apt. 296,"['Saturday', 'Monday', 'Tuesday', 'Friday', 'Wednesday', 'Thursday', 'Sunday']",15:00,23:00,742463,Steven,Beck,Steven.Beck@sharp-smith.com
135660,Arcane Pixel Arcade,www.arcanepixel.com,West Timothy,603 Moss Parkway,"['Friday', 'Monday', 'Tuesday', 'Saturday', 'Sunday', 'Wednesday', 'Thursday']",12:00,23:00,700933,Whitney,Brown,Whitney.Brown@harris.com
279246,Retro Joystick Arcade,www.retrojoystick.com,East Joshua,60203 Cory Road,"['Wednesday', 'Thursday', 'Sunday', 'Saturday', 'Tuesday', 'Friday', 'Monday']",15:00,23:00,632584,Karina,Hoover,Karina.Hoover@carpenter.org
482320,Mythical Lab Arcade,www.mythicallab.com,Rebeccaberg,44194 Lopez Spring Suite 907,"['Thursday', 'Wednesday', 'Monday', 'Tuesday', 'Sunday']",09:00,20:00,365902,Brandon,Davis,Brandon.Davis@young.com
611458,Mythical Matrix Arcade,www.mythicalmatrix.com,Guzmanshire,744 Elizabeth Circle Suite 980,"['Wednesday', 'Saturday', 'Sunday', 'Tuesday', 'Friday', 'Thursday']",09:00,20:00,817583,David,Bailey,David.Bailey@patterson.org
878667,Electric Asylum Arcade,www.electricasylum.com,Shannonberg,50037 Lynch Parkways,"['Saturday', 'Wednesday', 'Monday', 'Tuesday', 'Sunday', 'Friday']",09:00,18:00,544799,Lisa,Mitchell,Lisa.Mitchell@moreno.com
621529,Time-Warp Kingdom Arcade,www.time-warpkingdom.com,Barkerfurt,65389 Scott Vista,"['Monday', 'Wednesday', 'Saturday', 'Thursday', 'Friday', 'Sunday']",13:00,22:00,603364,Mary,Hartman,Mary.Hartman@walker.com
425218,Digital Playground Arcade,www.digitalplayground.com,Williamsshire,424 Angela Club,"['Friday', 'Monday', 'Sunday', 'Thursday', 'Saturday', 'Tuesday', 'Wednesday']",10:00,18:00,138402,Greg,Price,Greg.Price@baker.com
970543,Golden Zone Arcade,www.goldenzone.com,Stuartburgh,416 Gibbs Port Apt. 348,"['Thursday', 'Wednesday', 'Sunday', 'Friday', 'Tuesday', 'Saturday', 'Monday']",14:00,22:00,873172,Caitlin,Ellis,Caitlin.Ellis@shannon-williams.com
663521,Enchanted Club Arcade,www.enchantedclub.com,Roweport,779 Kathleen Points Apt. 012,"['Saturday', 'Wednesday', 'Monday', 'Tuesday', 'Thursday']",11:00,20:00,21236,William,Diaz,William.Diaz@fritz.com
455791,Magical Realm Arcade,www.magicalrealm.com,South Sarah,27889 Joseph Track,"['Saturday', 'Thursday', 'Wednesday', 'Tuesday', 'Friday', 'Monday']",09:00,20:00,86978,Nathan,Hamilton,Nathan.Hamilton@maddox.net
227070,Legendary Quest Arcade,www.legendaryquest.com,East Michael,3138 Moore Green Suite 168,"['Wednesday', 'Saturday', 'Monday', 'Tuesday', 'Sunday', 'Friday']",13:00,21:00,333273,Michelle,Herring,Michelle.Herring@lewis.biz
705077,Retro Sanctuary Arcade,www.retrosanctuary.com,West Eric,9396 Graham Circles Apt. 289,"['Wednesday', 'Saturday', 'Friday', 'Tuesday']",10:00,18:00,594940,Courtney,Gross,Courtney.Gross@mcdaniel.com
37441,Neon Night Arcade,www.neonnight.com,Sextonmouth,4373 Thomas Trafficway,"['Wednesday', 'Saturday', 'Sunday', 'Friday', 'Tuesday', 'Thursday', 'Monday']",13:00,21:00,937244,Julia,Anderson,Julia.Anderson@simon-zimmerman.net
742619,Neon Oasis Arcade,www.neonoasis.com,West Melvinberg,05031 Ortiz Prairie,"['Saturday', 'Monday', 'Thursday', 'Sunday', 'Friday', 'Tuesday']",12:00,20:00,434625,Richard,Francis,Richard.Francis@peck-berry.com
303153,Spectacular Kingdom Arcade,www.spectacularkingdom.com,Lake Nathanielland,5633 Lopez Hollow Apt. 617,"['Wednesday', 'Friday', 'Saturday', 'Sunday']",12:00,22:00,873719,Aaron,Flynn,Aaron.Flynn@martinez-holmes.com
967720,Glowing Den Arcade,www.glowingden.com,Deborahtown,8787 Samuel Ways,"['Thursday', 'Saturday', 'Wednesday', 'Monday', 'Tuesday', 'Sunday', 'Friday']",14:00,22:00,917702,Amanda,Green,Amanda.Green@walker.com
711095,Dry-Dry Galaxy Arcade,www.dry-drygalaxy.com,West Charles,0370 Brianna Centers Apt. 366,"['Friday', 'Saturday', 'Tuesday', 'Thursday', 'Wednesday', 'Monday', 'Sunday']",12:00,20:00,898680,Nathaniel,Schultz,Nathaniel.Schultz@robinson.com
