715396,Turbocharged Stellar Pavilion Arcade,www.turbochargedstellarpavilion.com,New Jasonview,39099 Ramirez Stravenue,"Thursday, Sunday, Monday, Friday, Saturday, Wednesday",15:00,23:00,749687,Ronald,Martin,Ronald.Martin@larsen-bruce.net
203838,Eclipse Retro Coliseum Arcade,www.eclipseretrocoliseum.com,Jenniferland,751 Zimmerman Spurs,"Tuesday, Saturday, Sunday, Friday, Thursday, Monday",13:00,22:00,160376,Michael,Hall,Michael.Hall@yu-smith.com
619822,Retro Virtual Odyssey Arcade,www.retrovirtualodyssey.com,Brianhaven,94958 Jimenez Shores Apt. 709,"Thursday, Monday, Friday, Wednesday, Saturday, Tuesday, Sunday",14:00,22:00,99086,Krista,Morse,Krista.Morse@clarke.com
645935,Flashing Pixelated Emporium Arcade,www.flashingpixelatedemporium.com,Port Kimberlyport,908 Joseph Street,"Tuesday, Thursday, Monday, Sunday, Wednesday, Friday, Saturday",09:00,19:00,655818,Mikayla,Jones,Mikayla.Jones@simpson.net
112925,Moonlit Turbocharged Pavilion Arcade,www.moonlitturbochargedpavilion.com,New Erica,14051 James Brooks Apt. 696,"Monday, Sunday, Friday, Thursday, Wednesday, Saturday",15:00,23:00,110414,Katrina,Norton,Katrina.Norton@fernandez.com
795006,Hologram Digital Dungeon Arcade,www.hologramdigitaldungeon.com,Jenniferborough,781 Roberts Crossing,"Tuesday, Monday, Saturday, Thursday",12:00,22:00,151189,William,Bowen,William.Bowen@lewis.net
326903,Kinetic Cosmic Junction Arcade,www.kineticcosmicjunction.com,East Johnmouth,602 Roberts Square,"Monday, Tuesday, Sunday, Wednesday, Thursday",11:00,22:00,778692,Jacqueline,Moody,Jacqueline.Moody@ross-kim.com
419428,High Voltage Solar Lab Arcade,www.highvoltagesolarlab.com,Lake Heather,6112 Mann Mission Suite 772,"Thursday, Saturday, Sunday, Monday, Tuesday",14:00,23:00,85170,Whitney,Casey,Whitney.Casey@montoya.biz
750186,Solar Sonic Oasis Arcade,www.solarsonicoasis.com,Port Judyborough,7317 Rowe Manor,"Sunday, Saturday, Thursday, Monday, Tuesday, Friday",10:00,22:00,534798,Misty,Kennedy,Misty.Kennedy@romero.com
461197,Quantum Hologram Night Arcade,www.quantumhologramnight.com,North Trevormouth,366 Tyler Squares Apt. 563,"Friday, Tuesday, Wednesday, Saturday, Sunday, Thursday",14:00,23:00,293679,Ray,Ferguson,Ray.Ferguson@morales-caldwell.com
